round,client_id,num_examples,valid_loss
1,1,128,6043.2939453125
1,0,201,1350.41455078125
1,6,298,3435.54541015625
1,3,345,667.59716796875
1,5,261,802.11865234375
1,2,387,736.191162109375
1,4,721,734.87353515625
2,1,128,6127.396484375
2,5,261,718.4347534179688
2,0,201,1261.5797119140625
2,3,345,592.9779663085938
2,6,298,3363.0283203125
2,2,387,655.62646484375
2,4,721,634.4554443359375
3,1,128,5751.3203125
3,0,201,1236.116943359375
3,5,261,689.0025024414062
3,6,298,3248.67578125
3,2,387,620.8927612304688
3,3,345,565.020263671875
3,4,721,601.576171875
4,1,128,5563.6875
4,0,201,1220.03759765625
4,6,298,3187.291015625
4,5,261,675.453369140625
4,2,387,605.5753784179688
4,3,345,553.0945434570312
4,4,721,586.6823120117188
5,1,128,5516.50048828125
5,0,201,1211.6591796875
5,5,261,668.83740234375
5,6,298,3164.0625
5,3,345,546.769775390625
5,2,387,599.1504516601562
5,4,721,580.292236328125
6,1,128,5497.89013671875
6,0,201,1213.7850341796875
6,5,261,667.7301635742188
6,6,298,3150.349365234375
6,3,345,543.942138671875
6,2,387,592.30908203125
6,4,721,576.0537719726562
7,1,128,5453.7314453125
7,0,201,1199.184814453125
7,5,261,664.3141479492188
7,6,298,3130.96484375
7,3,345,541.1947631835938
7,2,387,589.3656616210938
7,4,721,574.3017578125
8,0,201,1195.1612548828125
8,1,128,5420.37646484375
8,5,261,663.2080688476562
8,3,345,539.9744262695312
8,6,298,3116.944580078125
8,2,387,586.7930908203125
8,4,721,572.5949096679688
9,1,128,5401.29296875
9,0,201,1188.8001708984375
9,6,298,3102.23486328125
9,5,261,661.447265625
9,3,345,538.490234375
9,2,387,585.0576171875
9,4,721,570.3681030273438
10,1,128,5378.4951171875
10,0,201,1181.104736328125
10,5,261,660.6060791015625
10,2,387,583.9634399414062
10,6,298,3085.012451171875
10,3,345,537.4844360351562
10,4,721,569.1150512695312
