round,client_id,num_examples,valid_loss
1,5,261,800.643798828125
1,0,201,1361.651611328125
1,1,128,6126.09912109375
1,6,298,3482.68603515625
1,2,387,736.1649780273438
1,3,345,675.8046264648438
1,4,721,744.9459838867188
2,0,201,1402.7698974609375
2,1,128,5368.517578125
2,5,261,840.00537109375
2,3,345,705.2412719726562
2,6,298,3109.76806640625
2,2,387,766.4864501953125
2,4,721,795.558349609375
3,1,128,5107.48779296875
3,5,261,868.8203735351562
3,0,201,1406.0152587890625
3,6,298,2957.756591796875
3,2,387,784.1954956054688
3,3,345,728.8798828125
3,4,721,815.0744018554688
4,1,128,4951.033203125
4,0,201,1335.6312255859375
4,5,261,861.9612426757812
4,2,387,767.2855834960938
4,3,345,712.500732421875
4,6,298,2902.94384765625
4,4,721,797.8861694335938
5,1,128,4870.8349609375
5,0,201,1295.8677978515625
5,6,298,2869.04638671875
5,2,387,751.49267578125
5,5,261,852.3875122070312
5,3,345,698.0958251953125
5,4,721,781.9061279296875
6,0,201,1274.9840087890625
6,1,128,4813.24755859375
6,5,261,848.4656372070312
6,6,298,2849.614013671875
6,3,345,691.2708740234375
6,2,387,744.3819580078125
6,4,721,774.9317016601562
7,1,128,4763.15771484375
7,0,201,1260.343505859375
7,6,298,2831.176513671875
7,5,261,846.8265991210938
7,3,345,688.6782836914062
7,2,387,742.8504638671875
7,4,721,767.2151489257812
8,1,128,4731.61279296875
8,0,201,1253.2862548828125
8,3,345,684.5775146484375
8,5,261,844.23681640625
8,6,298,2826.75244140625
8,2,387,737.91796875
8,4,721,760.4222412109375
9,1,128,4695.99072265625
9,0,201,1241.1572265625
9,5,261,839.4244384765625
9,3,345,676.7457885742188
9,2,387,731.8814697265625
9,6,298,2822.5810546875
9,4,721,747.3382568359375
10,1,128,4659.880859375
10,5,261,838.6138916015625
10,0,201,1235.1597900390625
10,6,298,2813.79541015625
10,3,345,673.5682983398438
10,2,387,729.71533203125
10,4,721,743.070068359375
