round,client_id,num_examples,valid_loss,valid_loss_per_1k_counts,valid_mean_library_size
1,1,128,5916.625,17.108270997149226,345834.1875
1,0,201,1359.275390625,684.9314882309931,1984.5421142578125
1,5,261,808.5861206054688,691.681330227017,1169.015380859375
1,2,387,739.7740478515625,645.8066509919385,1145.50390625
1,3,345,675.8113403320312,761.1357462362865,887.8985595703125
1,6,298,3453.546630859375,18.745922357508316,184229.21875
1,4,721,759.7605590820312,537.435792096037,1413.6768798828125
2,1,128,6270.00341796875,18.130085585559552,345834.1875
2,0,201,1276.7501220703125,643.3474535330395,1984.5421142578125
2,5,261,708.6738891601562,606.2143361852497,1169.015380859375
2,3,345,586.6198120117188,660.6833619470815,887.8985595703125
2,6,298,3527.23779296875,19.145919505655456,184229.21875
2,2,387,652.3171997070312,569.4587250670443,1145.50390625
2,4,721,628.7911987304688,444.7913120957878,1413.6768798828125
3,1,128,5958.44921875,17.229208198445413,345834.1875
3,0,201,1242.8289794921875,626.2547739857051,1984.5421142578125
3,5,261,677.894287109375,579.8848265043256,1169.015380859375
3,6,298,3466.283203125,18.81505673451622,184229.21875
3,2,387,610.1320190429688,532.6319800287882,1145.50390625
3,3,345,552.84130859375,622.6401613207809,887.8985595703125
3,4,721,595.8357543945312,421.4794474315297,1413.6768798828125
4,1,128,5816.7763671875,16.819552772003792,345834.1875
4,0,201,1223.8956298828125,616.7143619289665,1984.5421142578125
4,5,261,664.3544311523438,568.3025530262341,1169.015380859375
4,6,298,3422.096435546875,18.575210048547866,184229.21875
4,2,387,594.3551635742188,518.8591284086924,1145.50390625
4,3,345,539.228271484375,607.3084133307342,887.8985595703125
4,4,721,580.8914794921875,410.9082376952069,1413.6768798828125
5,1,128,5779.86669921875,16.71282628485543,345834.1875
5,5,261,658.9815063476562,563.7064417631158,1169.015380859375
5,0,201,1216.8841552734375,613.1813179468453,1984.5421142578125
5,2,387,587.591552734375,512.9546432787021,1145.50390625
5,3,345,534.0636596679688,601.4917446329733,887.8985595703125
5,6,298,3423.405517578125,18.582315772819296,184229.21875
5,4,721,574.1249389648438,406.12175460577566,1413.6768798828125
6,1,128,5778.396484375,16.70857507171096,345834.1875
6,0,201,1213.689208984375,611.5714018609082,1984.5421142578125
6,5,261,656.0086059570312,561.1633611382837,1169.015380859375
6,3,345,531.0983276367188,598.1520252856553,887.8985595703125
6,2,387,583.7560424804688,509.60632626337275,1145.50390625
6,6,298,3430.37890625,18.62016747038829,184229.21875
6,4,721,570.9682006835938,403.8887561718042,1413.6768798828125
7,1,128,5735.111328125,16.583413483258262,345834.1875
7,0,201,1206.36865234375,607.88261312161,1984.5421142578125
7,5,261,654.3489990234375,559.7436989622589,1169.015380859375
7,2,387,581.492431640625,507.6302432419772,1145.50390625
7,3,345,529.7760009765625,596.6627485760463,887.8985595703125
7,6,298,3400.76953125,18.459447172059427,184229.21875
7,4,721,569.6005249023438,402.9212962161114,1413.6768798828125
8,6,298,3405.4541015625,18.484875116356378,184229.21875
8,0,201,1200.538818359375,604.9449914339095,1984.5421142578125
8,1,128,5734.3056640625,16.581083857988126,345834.1875
8,5,261,652.9868774414062,558.578511923079,1169.015380859375
8,2,387,579.821533203125,506.17158525417216,1145.50390625
8,3,345,528.7916870117188,595.5541602771372,887.8985595703125
8,4,721,568.0006713867188,401.7895994846485,1413.6768798828125
9,1,128,5726.65869140625,16.558972184439284,345834.1875
9,0,201,1191.9888916015625,600.636729768257,1984.5421142578125
9,2,387,578.2698974609375,504.81704100497655,1145.50390625
9,6,298,3408.626708984375,18.502096094891865,184229.21875
9,5,261,652.74560546875,558.3721228759007,1169.015380859375
9,3,345,527.9105834960938,594.5618132390612,887.8985595703125
9,4,721,567.3067016601562,401.2987024971339,1413.6768798828125
10,1,128,5715.14306640625,16.525674073911485,345834.1875
10,0,201,1186.6220703125,597.932417663484,1984.5421142578125
10,5,261,652.1556396484375,557.8674538827245,1169.015380859375
10,3,345,527.033447265625,593.5739343748197,887.8985595703125
10,6,298,3394.656494140625,18.426265480520374,184229.21875
10,2,387,577.1513061523438,503.84053512601315,1145.50390625
10,4,721,566.0130615234375,400.38361352172734,1413.6768798828125
