round,client_id,num_examples,valid_loss
1,0,201,1402.38671875
1,5,261,828.6614990234375
1,1,128,5998.12939453125
1,3,345,697.443603515625
1,6,298,3473.3154296875
1,2,387,767.5502319335938
1,4,721,781.4674682617188
2,1,128,6471.4189453125
2,0,201,1312.6839599609375
2,3,345,590.7496337890625
2,2,387,650.5411987304688
2,5,261,725.3703002929688
2,6,298,3478.22509765625
2,4,721,630.1348266601562
3,1,128,5806.01708984375
3,0,201,1249.9130859375
3,5,261,692.0546264648438
3,3,345,560.7784423828125
3,6,298,3281.556884765625
3,2,387,618.6690063476562
3,4,721,599.2606811523438
4,1,128,5778.92822265625
4,0,201,1268.3763427734375
4,5,261,683.1206665039062
4,3,345,549.8460083007812
4,2,387,607.0693359375
4,6,298,3258.66650390625
4,4,721,582.8875122070312
5,1,128,5432.353515625
5,0,201,1203.01123046875
5,5,261,672.5548706054688
5,6,298,3118.295166015625
5,2,387,603.929443359375
5,3,345,542.6527099609375
5,4,721,604.140869140625
6,1,128,5316.73095703125
6,0,201,1151.609619140625
6,2,387,591.7727661132812
6,5,261,687.9067993164062
6,6,298,3139.77783203125
6,3,345,553.8382568359375
6,4,721,609.826171875
7,1,128,5350.7177734375
7,0,201,1149.670166015625
7,3,345,531.9320678710938
7,2,387,604.2866821289062
7,5,261,659.263427734375
7,6,298,3177.3251953125
7,4,721,615.8743286132812
8,1,128,5363.89892578125
8,0,201,1179.5223388671875
8,5,261,664.3499145507812
8,2,387,592.7254638671875
8,6,298,3135.39111328125
8,3,345,535.6533813476562
8,4,721,584.4151611328125
9,1,128,5407.8017578125
9,0,201,1224.41259765625
9,5,261,666.7431640625
9,3,345,537.1222534179688
9,2,387,589.4849243164062
9,6,298,3134.7041015625
9,4,721,574.3850708007812
10,1,128,5351.86572265625
10,0,201,1238.766357421875
10,3,345,538.4761962890625
10,2,387,596.4990844726562
10,5,261,665.96826171875
10,6,298,3076.857666015625
10,4,721,572.9080200195312
