round,client_id,num_examples,valid_loss
1,5,261,796.9900512695312
1,0,201,1354.6676025390625
1,1,128,5945.59326171875
1,3,345,665.9054565429688
1,6,298,3401.1748046875
1,2,387,726.3754272460938
1,4,721,732.840087890625
2,1,128,6167.4296875
2,0,201,1771.897705078125
2,5,261,1019.150390625
2,3,345,831.8912353515625
2,2,387,886.9852905273438
2,6,298,2863.285888671875
2,4,721,1002.5164794921875
3,1,128,5107.505859375
3,0,201,1522.1904296875
3,5,261,966.86474609375
3,6,298,2935.017333984375
3,3,345,798.3937377929688
3,2,387,851.2724609375
3,4,721,924.7171630859375
4,1,128,6274.35546875
4,0,201,2052.285400390625
4,5,261,1191.197021484375
4,2,387,1024.0919189453125
4,3,345,964.757080078125
4,6,298,2758.744384765625
4,4,721,1245.60400390625
5,1,128,5023.1552734375
5,5,261,1023.325927734375
5,0,201,1587.93115234375
5,2,387,895.6072387695312
5,3,345,839.9423217773438
5,6,298,2832.649658203125
5,4,721,999.7200927734375
6,1,128,4660.9189453125
6,5,261,986.5259399414062
6,0,201,1446.994384765625
6,3,345,807.622802734375
6,2,387,859.3502807617188
6,4,721,937.672607421875
6,6,298,2941.380126953125
7,1,128,4571.8671875
7,0,201,1417.04833984375
7,3,345,799.2763671875
7,5,261,983.5955810546875
7,2,387,848.779541015625
7,6,298,2911.631103515625
7,4,721,923.9407348632812
8,1,128,5115.87255859375
8,0,201,1536.164306640625
8,5,261,1019.7350463867188
8,3,345,815.7689208984375
8,2,387,854.9313354492188
8,6,298,2720.28515625
8,4,721,975.1190185546875
9,1,128,5320.9169921875
9,0,201,1553.1865234375
9,3,345,827.2094116210938
9,2,387,873.950439453125
9,6,298,2700.750732421875
9,5,261,1014.8593139648438
9,4,721,976.4404296875
10,0,201,1569.2550048828125
10,1,128,5445.70556640625
10,3,345,824.8078002929688
10,6,298,2693.921142578125
10,2,387,875.9371948242188
10,5,261,1006.0590209960938
10,4,721,980.7202758789062
