round,node_id,client_id,client_size,available
1,18185742413279890553,,,True
1,8136472866298414464,,,True
1,16320882386553814558,,,True
1,3471101638431623310,,,True
1,13984010030928390698,,,True
1,16545659183230791762,,,True
1,10122904212503525271,,,True
2,18185742413279890553,2,1550,True
2,8136472866298414464,4,2884,True
2,16320882386553814558,3,1379,True
2,3471101638431623310,0,803,True
2,13984010030928390698,5,1042,True
2,16545659183230791762,6,1194,True
2,10122904212503525271,1,510,False
3,18185742413279890553,2,1550,True
3,8136472866298414464,4,2884,True
3,16320882386553814558,3,1379,True
3,3471101638431623310,0,803,True
3,13984010030928390698,5,1042,True
3,16545659183230791762,6,1194,True
3,10122904212503525271,1,510,True
4,18185742413279890553,2,1550,True
4,8136472866298414464,4,2884,True
4,16320882386553814558,3,1379,True
4,3471101638431623310,0,803,False
4,13984010030928390698,5,1042,True
4,16545659183230791762,6,1194,True
4,10122904212503525271,1,510,False
5,18185742413279890553,2,1550,True
5,8136472866298414464,4,2884,True
5,16320882386553814558,3,1379,True
5,3471101638431623310,0,803,False
5,13984010030928390698,5,1042,True
5,16545659183230791762,6,1194,True
5,10122904212503525271,1,510,True
6,18185742413279890553,2,1550,True
6,8136472866298414464,4,2884,True
6,16320882386553814558,3,1379,True
6,3471101638431623310,0,803,False
6,13984010030928390698,5,1042,True
6,16545659183230791762,6,1194,False
6,10122904212503525271,1,510,True
7,18185742413279890553,2,1550,True
7,8136472866298414464,4,2884,True
7,16320882386553814558,3,1379,True
7,3471101638431623310,0,803,False
7,13984010030928390698,5,1042,True
7,16545659183230791762,6,1194,True
7,10122904212503525271,1,510,True
8,18185742413279890553,2,1550,True
8,8136472866298414464,4,2884,True
8,16320882386553814558,3,1379,True
8,3471101638431623310,0,803,True
8,13984010030928390698,5,1042,True
8,16545659183230791762,6,1194,True
8,10122904212503525271,1,510,False
9,18185742413279890553,2,1550,True
9,8136472866298414464,4,2884,True
9,16320882386553814558,3,1379,True
9,3471101638431623310,0,803,True
9,13984010030928390698,5,1042,False
9,16545659183230791762,6,1194,True
9,10122904212503525271,1,510,False
10,18185742413279890553,2,1550,True
10,8136472866298414464,4,2884,True
10,16320882386553814558,3,1379,True
10,3471101638431623310,0,803,True
10,13984010030928390698,5,1042,False
10,16545659183230791762,6,1194,True
10,10122904212503525271,1,510,False
