round,node_id,client_id,client_size,available
1,5870708185731179937,,,True
1,13004118521768016324,,,True
1,17398295645401268291,,,True
1,17963182813255974279,,,True
1,17427201261072960431,,,True
1,11069175316940082010,,,True
1,6189824104221016381,,,True
2,5870708185731179937,0,803,True
2,13004118521768016324,6,1194,True
2,17398295645401268291,2,1550,True
2,17963182813255974279,3,1379,True
2,17427201261072960431,5,1042,False
2,11069175316940082010,4,2884,True
2,6189824104221016381,1,510,False
3,5870708185731179937,0,803,True
3,13004118521768016324,6,1194,True
3,17398295645401268291,2,1550,True
3,17963182813255974279,3,1379,True
3,17427201261072960431,5,1042,True
3,11069175316940082010,4,2884,True
3,6189824104221016381,1,510,True
4,5870708185731179937,0,803,True
4,13004118521768016324,6,1194,True
4,17398295645401268291,2,1550,True
4,17963182813255974279,3,1379,True
4,17427201261072960431,5,1042,False
4,11069175316940082010,4,2884,True
4,6189824104221016381,1,510,False
5,5870708185731179937,0,803,True
5,13004118521768016324,6,1194,True
5,17398295645401268291,2,1550,True
5,17963182813255974279,3,1379,False
5,17427201261072960431,5,1042,True
5,11069175316940082010,4,2884,True
5,6189824104221016381,1,510,True
6,5870708185731179937,0,803,False
6,13004118521768016324,6,1194,True
6,17398295645401268291,2,1550,False
6,17963182813255974279,3,1379,False
6,17427201261072960431,5,1042,True
6,11069175316940082010,4,2884,False
6,6189824104221016381,1,510,True
7,5870708185731179937,0,803,True
7,13004118521768016324,6,1194,False
7,17398295645401268291,2,1550,True
7,17963182813255974279,3,1379,False
7,17427201261072960431,5,1042,True
7,11069175316940082010,4,2884,False
7,6189824104221016381,1,510,True
8,5870708185731179937,0,803,True
8,13004118521768016324,6,1194,True
8,17398295645401268291,2,1550,True
8,17963182813255974279,3,1379,True
8,17427201261072960431,5,1042,True
8,11069175316940082010,4,2884,True
8,6189824104221016381,1,510,True
9,5870708185731179937,0,803,True
9,13004118521768016324,6,1194,True
9,17398295645401268291,2,1550,True
9,17963182813255974279,3,1379,True
9,17427201261072960431,5,1042,False
9,11069175316940082010,4,2884,True
9,6189824104221016381,1,510,True
10,5870708185731179937,0,803,True
10,13004118521768016324,6,1194,False
10,17398295645401268291,2,1550,True
10,17963182813255974279,3,1379,True
10,17427201261072960431,5,1042,False
10,11069175316940082010,4,2884,True
10,6189824104221016381,1,510,True
