round,client_id,num_examples,valid_loss
1,1,128,5758.138671875
1,0,201,1354.9288330078125
1,6,298,3379.878173828125
1,2,387,738.6705932617188
1,5,261,803.0127563476562
1,3,345,672.6474609375
1,4,721,737.3492431640625
2,1,128,6075.46533203125
2,0,201,1788.28369140625
2,6,298,2873.7236328125
2,2,387,896.3524780273438
2,3,345,833.2073364257812
2,4,721,986.3345947265625
2,5,261,1016.9229125976562
3,1,128,5000.76025390625
3,0,201,1435.5220947265625
3,6,298,2938.58349609375
3,3,345,777.7008056640625
3,5,261,943.3649291992188
3,2,387,838.268310546875
3,4,721,876.0755004882812
4,1,128,5966.44580078125
4,0,201,1986.5728759765625
4,3,345,961.6217651367188
4,2,387,1023.2910766601562
4,5,261,1181.0546875
4,6,298,2771.4130859375
4,4,721,1172.1341552734375
5,1,128,4891.83935546875
5,5,261,975.3091430664062
5,0,201,1422.4761962890625
5,3,345,794.0914916992188
5,2,387,851.5886840820312
5,6,298,2843.407470703125
5,4,721,893.4081420898438
6,1,128,4645.8212890625
6,0,201,1386.4154052734375
6,3,345,797.6710815429688
6,5,261,986.3080444335938
6,6,298,2903.778564453125
6,2,387,851.0259399414062
6,4,721,907.9652099609375
7,1,128,4513.134765625
7,0,201,1364.76123046875
7,2,387,849.4373168945312
7,6,298,3008.028564453125
7,3,345,793.0538940429688
7,5,261,974.3594360351562
7,4,721,902.240966796875
8,1,128,4465.765625
8,0,201,1374.53857421875
8,5,261,986.1937255859375
8,3,345,798.7523803710938
8,2,387,855.5222778320312
8,6,298,2946.74072265625
8,4,721,914.226318359375
9,1,128,4417.5830078125
9,0,201,1373.6475830078125
9,2,387,856.3189086914062
9,3,345,800.380859375
9,5,261,986.112060546875
9,6,298,2960.609375
9,4,721,915.24462890625
10,0,201,1396.9027099609375
10,1,128,4360.505859375
10,5,261,1001.1401977539062
10,3,345,813.5452880859375
10,2,387,875.4873046875
10,6,298,3110.127197265625
10,4,721,928.4651489257812
