round,client_id,num_examples,valid_loss
1,1,128,5995.36376953125
1,0,201,1336.269775390625
1,5,261,802.9752197265625
1,6,298,3438.2626953125
1,3,345,662.9904174804688
1,2,387,728.822509765625
1,4,721,741.6173095703125
2,0,201,1351.2835693359375
2,1,128,5311.0537109375
2,5,261,849.8505859375
2,2,387,758.9337768554688
2,3,345,698.2107543945312
2,6,298,3113.651611328125
2,4,721,790.4113159179688
3,1,128,5033.087890625
3,0,201,1308.7073974609375
3,5,261,861.2291870117188
3,6,298,2950.586669921875
3,3,345,701.711181640625
3,2,387,762.1035766601562
3,4,721,794.2549438476562
4,1,128,4892.517578125
4,0,201,1296.90966796875
4,5,261,881.3217163085938
4,3,345,709.4732666015625
4,2,387,763.4925537109375
4,6,298,2888.0986328125
4,4,721,798.6542358398438
5,1,128,4829.029296875
5,0,201,1265.626708984375
5,5,261,871.348876953125
5,3,345,699.1769409179688
5,2,387,753.1431884765625
5,6,298,2865.152587890625
5,4,721,783.8382568359375
6,0,201,1169.061279296875
6,1,128,5411.36962890625
6,5,261,691.8983764648438
6,3,345,563.1499633789062
6,2,387,625.8167724609375
6,6,298,3122.286376953125
6,4,721,596.9290161132812
7,1,128,4813.8056640625
7,0,201,1194.2928466796875
7,5,261,797.7071533203125
7,6,298,2864.498046875
7,3,345,639.0106811523438
7,2,387,702.60791015625
7,4,721,704.2039184570312
8,1,128,4747.10205078125
8,5,261,805.5550537109375
8,0,201,1193.856689453125
8,6,298,2837.603271484375
8,2,387,701.2509765625
8,3,345,642.004150390625
8,4,721,706.43994140625
9,1,128,4691.140625
9,5,261,825.3640747070312
9,0,201,1199.6011962890625
9,2,387,707.718017578125
9,3,345,655.6477661132812
9,6,298,2821.159423828125
9,4,721,713.1978149414062
10,1,128,4640.12646484375
10,0,201,1209.6392822265625
10,2,387,725.5704345703125
10,5,261,850.9170532226562
10,3,345,673.03271484375
10,6,298,2807.22265625
10,4,721,737.4086303710938
