round,node_id,client_id,client_size,available
1,15008333785541561852,,,True
1,14199396735749649152,,,True
1,17772539454904715616,,,True
1,9381034862861210100,,,True
1,12674463355583116836,,,True
1,8892281464401558127,,,True
1,15599067259138068754,,,True
2,15008333785541561852,1,510,True
2,14199396735749649152,4,2884,True
2,17772539454904715616,6,1194,True
2,9381034862861210100,5,1042,True
2,12674463355583116836,3,1379,False
2,8892281464401558127,2,1550,True
2,15599067259138068754,0,803,False
3,15008333785541561852,1,510,True
3,14199396735749649152,4,2884,True
3,17772539454904715616,6,1194,True
3,9381034862861210100,5,1042,True
3,12674463355583116836,3,1379,True
3,8892281464401558127,2,1550,True
3,15599067259138068754,0,803,True
4,15008333785541561852,1,510,True
4,14199396735749649152,4,2884,True
4,17772539454904715616,6,1194,True
4,9381034862861210100,5,1042,True
4,12674463355583116836,3,1379,False
4,8892281464401558127,2,1550,True
4,15599067259138068754,0,803,False
5,15008333785541561852,1,510,True
5,14199396735749649152,4,2884,True
5,17772539454904715616,6,1194,True
5,9381034862861210100,5,1042,False
5,12674463355583116836,3,1379,True
5,8892281464401558127,2,1550,True
5,15599067259138068754,0,803,True
6,15008333785541561852,1,510,False
6,14199396735749649152,4,2884,True
6,17772539454904715616,6,1194,False
6,9381034862861210100,5,1042,False
6,12674463355583116836,3,1379,True
6,8892281464401558127,2,1550,False
6,15599067259138068754,0,803,True
7,15008333785541561852,1,510,True
7,14199396735749649152,4,2884,False
7,17772539454904715616,6,1194,True
7,9381034862861210100,5,1042,False
7,12674463355583116836,3,1379,True
7,8892281464401558127,2,1550,False
7,15599067259138068754,0,803,True
8,15008333785541561852,1,510,True
8,14199396735749649152,4,2884,True
8,17772539454904715616,6,1194,True
8,9381034862861210100,5,1042,True
8,12674463355583116836,3,1379,True
8,8892281464401558127,2,1550,True
8,15599067259138068754,0,803,True
9,15008333785541561852,1,510,True
9,14199396735749649152,4,2884,True
9,17772539454904715616,6,1194,True
9,9381034862861210100,5,1042,True
9,12674463355583116836,3,1379,False
9,8892281464401558127,2,1550,True
9,15599067259138068754,0,803,True
10,15008333785541561852,1,510,True
10,14199396735749649152,4,2884,False
10,17772539454904715616,6,1194,True
10,9381034862861210100,5,1042,True
10,12674463355583116836,3,1379,False
10,8892281464401558127,2,1550,True
10,15599067259138068754,0,803,True
