round,client_id,num_examples,valid_loss
1,1,128,5829.6494140625
1,0,201,1349.196533203125
1,5,261,810.0185546875
1,3,345,673.3536987304688
1,6,298,3373.364501953125
1,2,387,744.6713256835938
1,4,721,746.5750732421875
2,1,128,5180.40234375
2,0,201,1331.8438720703125
2,3,345,685.4725341796875
2,5,261,821.5853881835938
2,2,387,752.615234375
2,4,721,759.1161499023438
2,6,298,3034.74365234375
3,0,201,1314.286865234375
3,1,128,4946.876953125
3,3,345,702.7905883789062
3,6,298,2897.7900390625
3,5,261,847.0459594726562
3,2,387,763.49072265625
3,4,721,774.4727783203125
4,1,128,4810.57763671875
4,0,201,1264.8251953125
4,3,345,691.2325439453125
4,5,261,845.288330078125
4,6,298,2844.50341796875
4,2,387,750.1089477539062
4,4,721,765.78076171875
5,1,128,4734.31494140625
5,0,201,1258.957275390625
5,2,387,747.24072265625
5,5,261,849.8392944335938
5,3,345,690.957763671875
5,6,298,2821.151123046875
5,4,721,768.0930786132812
6,1,128,4693.09716796875
6,0,201,1245.8624267578125
6,5,261,847.9658813476562
6,6,298,2804.233642578125
6,3,345,687.045654296875
6,2,387,740.4432983398438
6,4,721,763.5032958984375
7,0,201,1234.4898681640625
7,1,128,4658.0400390625
7,6,298,2792.726806640625
7,5,261,841.8056640625
7,3,345,681.94384765625
7,2,387,735.769287109375
7,4,721,753.1499633789062
8,0,201,1234.166015625
8,1,128,4617.3505859375
8,5,261,841.8452758789062
8,6,298,2783.337890625
8,3,345,680.4846801757812
8,2,387,734.0512084960938
8,4,721,750.1509399414062
9,1,128,4582.806640625
9,0,201,1223.5023193359375
9,5,261,840.2025146484375
9,3,345,679.156982421875
9,6,298,2773.939697265625
9,2,387,731.0225219726562
9,4,721,740.6069946289062
10,1,128,4552.69970703125
10,0,201,1220.82470703125
10,3,345,673.2205810546875
10,5,261,836.1826782226562
10,6,298,2769.388916015625
10,2,387,725.7958374023438
10,4,721,733.3655395507812
