round,node_id,client_id,client_size,available
1,9432547324400239454,,,True
1,2693671008097665219,,,True
1,9317088189996809637,,,True
1,11823717989305070663,,,True
1,3898528055700565209,,,True
1,11031684273508985210,,,True
1,13465353785082035290,,,True
2,9432547324400239454,6,1194,True
2,2693671008097665219,5,1042,True
2,9317088189996809637,1,510,True
2,11823717989305070663,4,2884,True
2,3898528055700565209,0,803,True
2,11031684273508985210,2,1550,True
2,13465353785082035290,3,1379,True
3,9432547324400239454,6,1194,True
3,2693671008097665219,5,1042,True
3,9317088189996809637,1,510,True
3,11823717989305070663,4,2884,True
3,3898528055700565209,0,803,True
3,11031684273508985210,2,1550,True
3,13465353785082035290,3,1379,True
4,9432547324400239454,6,1194,True
4,2693671008097665219,5,1042,True
4,9317088189996809637,1,510,True
4,11823717989305070663,4,2884,True
4,3898528055700565209,0,803,True
4,11031684273508985210,2,1550,True
4,13465353785082035290,3,1379,True
5,9432547324400239454,6,1194,True
5,2693671008097665219,5,1042,True
5,9317088189996809637,1,510,True
5,11823717989305070663,4,2884,False
5,3898528055700565209,0,803,True
5,11031684273508985210,2,1550,True
5,13465353785082035290,3,1379,True
6,9432547324400239454,6,1194,True
6,2693671008097665219,5,1042,True
6,9317088189996809637,1,510,False
6,11823717989305070663,4,2884,True
6,3898528055700565209,0,803,True
6,11031684273508985210,2,1550,False
6,13465353785082035290,3,1379,True
7,9432547324400239454,6,1194,True
7,2693671008097665219,5,1042,True
7,9317088189996809637,1,510,False
7,11823717989305070663,4,2884,True
7,3898528055700565209,0,803,True
7,11031684273508985210,2,1550,True
7,13465353785082035290,3,1379,True
8,9432547324400239454,6,1194,True
8,2693671008097665219,5,1042,True
8,9317088189996809637,1,510,True
8,11823717989305070663,4,2884,True
8,3898528055700565209,0,803,True
8,11031684273508985210,2,1550,True
8,13465353785082035290,3,1379,True
9,9432547324400239454,6,1194,True
9,2693671008097665219,5,1042,True
9,9317088189996809637,1,510,True
9,11823717989305070663,4,2884,True
9,3898528055700565209,0,803,False
9,11031684273508985210,2,1550,True
9,13465353785082035290,3,1379,True
10,9432547324400239454,6,1194,True
10,2693671008097665219,5,1042,True
10,9317088189996809637,1,510,True
10,11823717989305070663,4,2884,True
10,3898528055700565209,0,803,False
10,11031684273508985210,2,1550,True
10,13465353785082035290,3,1379,True
