round,client_id,num_examples,valid_loss
1,1,128,6138.6015625
1,0,201,1367.2344970703125
1,5,261,826.229248046875
1,6,298,3474.43994140625
1,3,345,681.8569946289062
1,2,387,747.502197265625
1,4,721,745.57080078125
2,1,128,6202.22900390625
2,0,201,1265.50634765625
2,5,261,721.9264526367188
2,3,345,591.2220458984375
2,2,387,656.4586791992188
2,6,298,3390.55908203125
2,4,721,630.9055786132812
3,1,128,5804.1923828125
3,0,201,1234.5013427734375
3,5,261,686.827880859375
3,6,298,3250.7978515625
3,2,387,622.5267944335938
3,3,345,560.9381713867188
3,4,721,598.8897705078125
4,1,128,5657.048828125
4,0,201,1225.3011474609375
4,5,261,673.635986328125
4,6,298,3201.606201171875
4,2,387,608.3356323242188
4,3,345,548.4026489257812
4,4,721,584.2059326171875
5,0,201,1224.98681640625
5,1,128,5576.53369140625
5,5,261,668.9153442382812
5,6,298,3178.9951171875
5,3,345,543.4407348632812
5,2,387,601.7819213867188
5,4,721,579.1204833984375
6,1,128,5539.130859375
6,0,201,1224.6883544921875
6,5,261,670.0479125976562
6,2,387,597.7070922851562
6,3,345,540.9683227539062
6,6,298,3167.346435546875
6,4,721,576.0494995117188
7,1,128,5481.0
7,0,201,1214.735107421875
7,2,387,594.2665405273438
7,3,345,539.2317504882812
7,6,298,3151.0927734375
7,5,261,663.9666748046875
7,4,721,573.5577392578125
8,1,128,5455.6748046875
8,0,201,1215.486572265625
8,3,345,537.2193603515625
8,2,387,589.43017578125
8,5,261,665.1268920898438
8,6,298,3134.235107421875
8,4,721,571.118896484375
9,1,128,5436.58251953125
9,3,345,535.5534057617188
9,2,387,586.7476806640625
9,5,261,661.4061279296875
9,0,201,1204.35546875
9,6,298,3115.54931640625
9,4,721,569.5798950195312
10,1,128,5376.44970703125
10,0,201,1201.5927734375
10,5,261,661.7062377929688
10,3,345,533.1510009765625
10,6,298,3100.6962890625
10,2,387,583.8341674804688
10,4,721,566.6173095703125
