round,client_id,num_examples,valid_loss
1,5,261,812.7506103515625
1,6,298,3437.94140625
1,0,201,1385.250732421875
1,1,128,5978.38330078125
1,3,345,678.5576782226562
1,2,387,746.37109375
1,4,721,749.0233764648438
2,1,128,5962.24658203125
2,0,201,1552.0711669921875
2,5,261,872.688720703125
2,2,387,799.5169677734375
2,3,345,731.3130493164062
2,6,298,3016.00634765625
2,4,721,798.3508911132812
3,1,128,5145.99853515625
3,0,201,1292.429443359375
3,5,261,822.5861206054688
3,2,387,744.1859130859375
3,6,298,2965.276123046875
3,3,345,679.781494140625
3,4,721,754.4971313476562
4,1,128,5328.50146484375
4,0,201,1325.2203369140625
4,3,345,682.976806640625
4,2,387,742.3773193359375
4,5,261,838.1954345703125
4,4,721,759.4659423828125
4,6,298,2829.238525390625
5,0,201,1339.38330078125
5,1,128,5329.73291015625
5,3,345,679.7747802734375
5,2,387,735.4315795898438
5,6,298,2796.871826171875
5,5,261,832.4365234375
5,4,721,750.2522583007812
6,1,128,5355.8173828125
6,0,201,1381.685302734375
6,3,345,691.7070922851562
6,2,387,741.3417358398438
6,5,261,848.7603759765625
6,6,298,2775.399658203125
6,4,721,752.8778686523438
7,1,128,5497.39794921875
7,0,201,1367.135009765625
7,3,345,668.3126831054688
7,2,387,719.4793090820312
7,5,261,824.22509765625
7,6,298,2775.515380859375
7,4,721,726.4383544921875
8,1,128,4947.65234375
8,0,201,1267.5072021484375
8,5,261,791.3438110351562
8,3,345,643.9144897460938
8,6,298,2802.189697265625
8,2,387,703.5673217773438
8,4,721,699.468505859375
9,1,128,4705.87353515625
9,0,201,1221.239990234375
9,2,387,684.885986328125
9,5,261,759.2593383789062
9,3,345,623.1396484375
9,6,298,2855.819091796875
9,4,721,671.3507690429688
10,1,128,4560.076171875
10,0,201,1225.0069580078125
10,5,261,763.323486328125
10,3,345,626.1953735351562
10,6,298,2901.32080078125
10,2,387,691.7915649414062
10,4,721,674.046875
