round,node_id,client_id,client_size,available
1,17967553704012868346,,,True
1,12149343763849993825,,,True
1,1356353336383459948,,,True
1,14950157568558489577,,,True
1,14549298308517843085,,,True
1,9411566334670640497,,,True
1,9721928667390993147,,,True
2,17967553704012868346,1,510,False
2,12149343763849993825,5,1042,True
2,1356353336383459948,2,1550,True
2,14950157568558489577,0,803,True
2,14549298308517843085,6,1194,True
2,9411566334670640497,3,1379,True
2,9721928667390993147,4,2884,True
3,17967553704012868346,1,510,True
3,12149343763849993825,5,1042,True
3,1356353336383459948,2,1550,True
3,14950157568558489577,0,803,True
3,14549298308517843085,6,1194,True
3,9411566334670640497,3,1379,True
3,9721928667390993147,4,2884,True
4,17967553704012868346,1,510,False
4,12149343763849993825,5,1042,True
4,1356353336383459948,2,1550,True
4,14950157568558489577,0,803,False
4,14549298308517843085,6,1194,True
4,9411566334670640497,3,1379,True
4,9721928667390993147,4,2884,True
5,17967553704012868346,1,510,False
5,12149343763849993825,5,1042,True
5,1356353336383459948,2,1550,True
5,14950157568558489577,0,803,False
5,14549298308517843085,6,1194,True
5,9411566334670640497,3,1379,True
5,9721928667390993147,4,2884,True
6,17967553704012868346,1,510,False
6,12149343763849993825,5,1042,True
6,1356353336383459948,2,1550,True
6,14950157568558489577,0,803,False
6,14549298308517843085,6,1194,True
6,9411566334670640497,3,1379,False
6,9721928667390993147,4,2884,True
7,17967553704012868346,1,510,False
7,12149343763849993825,5,1042,True
7,1356353336383459948,2,1550,True
7,14950157568558489577,0,803,False
7,14549298308517843085,6,1194,True
7,9411566334670640497,3,1379,True
7,9721928667390993147,4,2884,True
8,17967553704012868346,1,510,True
8,12149343763849993825,5,1042,True
8,1356353336383459948,2,1550,True
8,14950157568558489577,0,803,True
8,14549298308517843085,6,1194,True
8,9411566334670640497,3,1379,True
8,9721928667390993147,4,2884,True
9,17967553704012868346,1,510,True
9,12149343763849993825,5,1042,True
9,1356353336383459948,2,1550,True
9,14950157568558489577,0,803,True
9,14549298308517843085,6,1194,False
9,9411566334670640497,3,1379,True
9,9721928667390993147,4,2884,True
10,17967553704012868346,1,510,True
10,12149343763849993825,5,1042,True
10,1356353336383459948,2,1550,True
10,14950157568558489577,0,803,True
10,14549298308517843085,6,1194,False
10,9411566334670640497,3,1379,True
10,9721928667390993147,4,2884,True
