round,client_id,num_examples,valid_loss
1,1,128,5764.115234375
1,0,201,1317.0711669921875
1,6,298,3363.026611328125
1,3,345,653.2457275390625
1,5,261,788.9584350585938
1,2,387,721.4354858398438
1,4,721,722.6065063476562
2,1,128,5381.5244140625
2,0,201,1230.6180419921875
2,6,298,3101.647216796875
2,5,261,738.9918823242188
2,2,387,672.0294189453125
2,3,345,611.2782592773438
2,4,721,664.8688354492188
3,1,128,5198.3134765625
3,0,201,1207.5970458984375
3,5,261,730.0965576171875
3,2,387,658.9959716796875
3,6,298,2986.318603515625
3,3,345,599.6607666015625
3,4,721,647.677734375
4,1,128,5103.6435546875
4,0,201,1186.480712890625
4,5,261,722.4403076171875
4,2,387,650.1778564453125
4,3,345,591.9871215820312
4,6,298,2922.822998046875
4,4,721,639.07470703125
5,1,128,5052.6162109375
5,0,201,1175.9478759765625
5,5,261,716.625732421875
5,3,345,585.116943359375
5,2,387,640.48095703125
5,6,298,2893.228759765625
5,4,721,630.6338500976562
6,1,128,4999.95849609375
6,0,201,1173.019287109375
6,6,298,2874.58203125
6,5,261,714.9305419921875
6,2,387,635.9984130859375
6,3,345,582.7966918945312
6,4,721,627.3251953125
7,1,128,4982.37841796875
7,5,261,712.705810546875
7,6,298,2860.137451171875
7,0,201,1165.319091796875
7,2,387,630.1700439453125
7,3,345,578.3668823242188
7,4,721,621.50634765625
8,1,128,4944.36669921875
8,0,201,1168.4921875
8,5,261,713.5360717773438
8,3,345,579.3998413085938
8,6,298,2851.4990234375
8,2,387,628.872802734375
8,4,721,622.1226806640625
9,1,128,4923.41796875
9,0,201,1162.70361328125
9,3,345,575.97119140625
9,5,261,712.0618286132812
9,6,298,2838.099853515625
9,2,387,625.7584838867188
9,4,721,617.8230590820312
10,1,128,4896.5732421875
10,0,201,1163.1064453125
10,5,261,712.6511840820312
10,6,298,2827.075439453125
10,3,345,574.2318725585938
10,2,387,623.5482177734375
10,4,721,614.6375732421875
