round,client_id,num_examples,valid_loss
1,1,128,5686.2412109375
1,0,201,1344.7579345703125
1,6,298,3332.227294921875
1,5,261,789.3890991210938
1,3,345,657.8567504882812
1,2,387,723.4013061523438
1,4,721,731.9275512695312
2,1,128,4989.9052734375
2,0,201,1321.5780029296875
2,5,261,825.4684448242188
2,3,345,688.639892578125
2,6,298,3149.005126953125
2,2,387,752.3067016601562
2,4,721,770.1624755859375
3,1,128,4718.51171875
3,0,201,1332.514404296875
3,5,261,876.6705322265625
3,6,298,3030.7685546875
3,2,387,783.3528442382812
3,3,345,726.188232421875
3,4,721,804.112060546875
4,1,128,4559.08154296875
4,0,201,1326.7677001953125
4,5,261,913.4951782226562
4,6,298,2976.642822265625
4,3,345,746.977294921875
4,2,387,800.0613403320312
4,4,721,829.2241821289062
5,1,128,4468.44287109375
5,0,201,1327.54931640625
5,5,261,934.8704223632812
5,3,345,759.5759887695312
5,6,298,2963.51123046875
5,2,387,811.0517578125
5,4,721,846.7997436523438
6,1,128,4462.8291015625
6,0,201,1332.69677734375
6,5,261,949.2203369140625
6,3,345,768.3601684570312
6,6,298,2966.00830078125
6,2,387,817.0550537109375
6,4,721,859.3463745117188
7,1,128,4405.9169921875
7,0,201,1334.88818359375
7,5,261,954.3984375
7,3,345,775.5236206054688
7,2,387,822.739501953125
7,6,298,2952.18408203125
7,4,721,867.81640625
8,1,128,4395.15234375
8,0,201,1322.7103271484375
8,6,298,2943.032958984375
8,5,261,946.90380859375
8,2,387,819.33154296875
8,3,345,772.47119140625
8,4,721,859.5990600585938
9,1,128,4350.30224609375
9,0,201,1337.1123046875
9,5,261,961.8468017578125
9,6,298,2938.905029296875
9,3,345,784.308349609375
9,2,387,828.8544921875
9,4,721,871.173828125
10,1,128,4352.36376953125
10,5,261,958.3207397460938
10,0,201,1332.4791259765625
10,6,298,2943.652099609375
10,3,345,784.5023803710938
10,2,387,825.4720458984375
10,4,721,874.2322387695312
