client_id,n_cells,mean_lib_size,median_lib_size
0,201,10268.771484375,10022.1875
1,128,10961.9423828125,10981.234375
2,387,7506.3095703125,7502.60546875
3,345,7187.6201171875,7230.3408203125
4,721,7196.99951171875,7199.5107421875
5,261,8246.619140625,8177.38623046875
6,298,10910.443359375,11073.98828125
